10	Sweepstakes Slang  Buggy: Vehicle being raced and also a nickname for the competition.  Chute: A section of the freeroll portion of the buggy course (near the southwestern end of Frew Street at its intersection with Schenley Drive) where buggies make the sharp righthand turn from Schenley Drive onto Frew Street.  Chute Flagger: Team member who provides a signal for buggy drivers to know when to start the right-hand turn from Schenley Drive onto Frew Street.  Driver: Person who travels with a buggy and controls the vehicles via steering and braking systems.  Pushbar: Structure attached to a buggy that a person pushes to propel that buggy forward.  Pusher: Person who propels a buggy via a pushbar along one of the five hills of the buggy course.  Shell: Entire outer structure or covering of a buggy that determines that buggy's aerodynamic characteristics.  Transition: Procedure whereby one pusher finishes pushing a buggy and the next pusher in sequence starts to push that same buggy. 
11	Learn at LTI The LTI's degree programs draw from a common set of courses and core skills, but emphasize different types of expertise that prepare you for a wide range of career options. All of our programs provide the hands-on experience and rigorous curriculum that are the hallmark of computer science at Carnegie Mellon. Program Type: Ph.D. Programs Program Name: Dual-Degree Ph.D. in Language and Information Technologies (Portugal Partnership) Overview: The LTI offers a dual-degree Ph.D. in Language and Information Technologies in cooperation with: Universidade de Aveiro (Ph.D. in Computer Engineering), Universidade do Minho (Ph.D. in Informatics)  and the Universidade do Porto (FCUP, Ph.D. in Computer Science and FEUP, Ph.D. in Computer Science) as part of MAPi; Universidade de Lisboa, Faculdade de Ciências – FCUL (Ph.D. in Informatics)  Universidade de Lisboa, Instituto Superior Técnico – IST  (Ph.D. in Computer Science and Engineering, Ph.D. in Electrical and Computer Engineering, Ph.D. in Information Security) Universidade Nova de Lisboa, Faculdade de Ciências e Tecnologia – FCTUNL (Ph.D. in Computer Science) Universidade de Coimbra, Faculdade de Ciências e Tecnologia – FCTUC (Ph.D. in Information Science and Technology) Students jointly enrolled in the LTI Ph.D program spend a year in Portugal, then two years at Carnegie Mellon taking classes in linguistics, computer science, statistical learning and task orientation. After completing the majority of their academic requirements, students return to Portugal for the next two years to conduct extensive research, ultimately leading to a dissertation topic that will be publicly defended. One adviser from each institution co-supervises their student’s progress and helps to define their final thesis topic. Requirements: Students participating in the dual-degree program will spend their first year in Portugal, followed by two years in Pittsburgh to complete their coursework. They will complete a maximum of eight courses with a proper balance of focus areas (linguistics, computer science, statistical/learning and task orientation). After that, they will return to Portugal for their last two years, pursuing research and completing their dissertation. For more, see the Carnegie Mellon | Portugal page. Curriculum: While in the dual Ph.D. program, your schedule may look like this.    Year 1 (In Portugal) Fall: - Classes and Directed Study  Year 1 (In Portugal) Spring: - Classes and Directed Study  Year 1 (In Portugal) Summer: - Required Research   Year 2 (In Pittsburgh) Fall: - Grammar and Lexicon - Structured Prediction - Directed Study  Year 2 (In Pittsburgh) Spring: - Language and Statistics - 2 Self-Paced Labs - Directed Study  Year 2(In Pittsburgh) Summer: - Required Research  Year 3 (In Pittsburgh) Spring: - Directed Research  Year 3 (In Pittsburgh) Summer: - Directed Research  Year 4 (In Pittsburgh) Fall: - Directed Research  Year 4 (In Pittsburgh) Spring: - Directed Research  Year 4 (In Pittsburgh) Summer: - Directed Research  Year 5 (In Pittsburgh) Fall: - Directed Research  Year 5 (In Pittsburgh) Spring: - Directed Research  Year 5(In Pittsburgh) Summer: - Directed Research   Admission: Students applying to the dual degree program must apply through Carnegie Mellon's online application. In addition to the requirements listed below, prospective students must also contact Stacey Young when applying. Carnegie Mellon's School of Computer Science has a centralized online application process. Applications and all supporting documentation for fall admission to any of the LTI's graduate programs must be received by the application deadline. Incomplete applications will not be considered. The application period for Fall 2024 will open on September 6, 2023. Final Application Deadline December 13, 2023 3:00 p.m. EST. Cost $100 per program, $80 for applications submitted by November 29, 2023 at 3:00 p.m. EST (early deadline). Fee Waivers Fee waivers may be available in cases of financial hardship, or for participants in select programs. For more information, please refer to the School of Computer Science Fee Waiver page. Requirements The School of Computer Science requires the following for all Ph.D. applications. GRE scores: These must be less than five years old. The GRE Subject Test is not required, but is recommended. Our Institution Code is 2074; Department Code is 0402. English Proficiency Requirement: If you will be studying on an F-1 or J-1 visa, and English is not a native language for you (native language…meaning spoken at home and from birth), an official copy of an English proficiency score report is required. The English proficiency requirement cannot be waived for any reason. Find more information under "Test Scores" on our FAQ page. Successful applicants will have a minimum TOEFL score of 100. Our Institution Code is 4256; the Department Code is 78. Official transcripts from each university you have attended, regardless of whether you received your degree there. Current resume. Statement of Purpose. Three letters of recommendation. For more details on these requirements, please see the SCS Doctoral Admissions page. In addition to the SCS guidelines, the LTI requires: A short (1-3 minute) video of yourself. There will be a prompt question that you will respond to. You will have three attempts. This is not a required part of the application process, but it's strongly suggested. Any outside funding you are receiving must be accompanied by an official award letter. No incomplete applications will be eligible for consideration. For specific application/admissions questions, please contact Stacey Young. Additional Info: For more information, see the CMU | Portugal website. 
12	Learn at LTI The LTI's degree programs draw from a common set of courses and core skills, but emphasize different types of expertise that prepare you for a wide range of career options. All of our programs provide the hands-on experience and rigorous curriculum that are the hallmark of computer science at Carnegie Mellon. Program Type: Master's Programs Program Name: Master of Science in Intelligent Information Systems (MIIS) Overview: The Master's in Intelligent Information Systems degree focuses on recognizing and extracting meaning from text, spoken language and video. As an MIIS student, you’ll receive the department’s deepest exposure to content analysis and machine learning. In addition to completing the program’s coursework, you’ll work on directed study projects with your faculty advisor for two semesters; participate in a summer internship; and collaborate with your peers on a semester-long, group-oriented capstone project. This combination of classroom instruction, professional experience, and using new skills in significant projects with world-class colleagues will help prepare you for a successful career in industry or government. Our alumni have gone on to exciting careers at places like Apple, IBM and Google, and most have job offers within six weeks of graduation. Requirements: The Intelligent Information Systems degree offers students the flexibility to create their own course of study in consultation with their advisor.  MIIS students gain three types of practical experience: software development supervised by their advisor (24 units equivalent to two courses); a summer internship (which can be waived for students that have sufficient prior professional experience); and a capstone project executed in a group of peers (42 units equivalent to three 12-unit courses and one 6-unit course). This combination is proven to help IIS students to broaden their skills quickly. The MIIS degree is offered in two options: Option 1. Standard MIIS degree (MIIS-16) - A 16-month track that is completed in three academic semesters (fall, spring, fall) and a summer internship.   Option 2. MIIS: Advanced Study degree (MIIS-21) - A 21-month track that is completed in four academic semesters (fall, spring, fall, spring) and a summer internship. MIIS: Advanced Study track offers indepth degree in one of the following areas of concentration: Human Language for Language Technologies Language Technology Application Machine Learning for Language Technologies Part-time education option is available in some cases.  MIIS-16 students must take at least 84 units (typically 7 courses) of qualifying and elective courses that satisfy human language, machine learning, and language technology applications breadth requirements. MIIS-21 students have to take at least two more courses from the selected concentration area to satisfy their degree requirements, making it total of 108 units (typically 9 courses) of qualifying and elective courses, that also satisfy breadth requirements. For a full list of requirements, read the MIIS Handbook. Curriculum: Click one of the two options below:    MIIS-16 MIIS-21   Here are some example schedules for completing the MIIS-16 program. Example Course of Study #1 This schedule would satisfy course requirements for a student interested in text mining, text analytics and question-answering systems.  Fall 1: - Machine Learning - Search Engines - Design and Engineering of Intelligent Systems\ Directed Study  Spring: - Language and Statistics - Natural Language Processing - Question Answering - Directed Study - MIIS Capstone Planning Seminar  Summer: - Internship  Fall 2: - Machine Learning for Text Mining - MIIS Capstone Project    Example Course of Study #2 This schedule would satisfy course requirements for a student interested in voice-based computer applications.  Fall 1: - Machine Learning - Algorithms for NLP - Speech Recognition and Understanding - Directed Study  Spring: - Applied Machine Learning - Competitive Engineering - Design and Implementation of Speech Recognition Systems - Directed Study - MIIS Capstone Planning Seminar  Summer: - Internship  Fall 2: - Conversational Interfaces - MIIS Capstone Project    Example Course of Study #3 This example would satisfy course requirements for a student interested in text mining, text analytics and question-answering systems who has petitioned to have the summer internship waived.  Fall 1: - Search Engines - Analysis of Social Media - Design and Engineering of Intelligent Systems - Directed Study  Spring: - Machine Learning - Natural Language Processing - Question Answering - Directed Study - MIIS Capstone Planning Seminar  Summer: - Academic Research Practices and Scientific Communities - MIIS Capstone Project    Here are some example schedules for completing the MIIS-21 program. Example Course of Study #1 This schedule would satisfy course requirements for a student interested in deepening their expertise in Machine Learning area of concentration.  Fall 1: - Search Engines - Algorithms for NLP - Intro to ML (MLD) - MIIS Directed Study  Spring 1: - Question Answering - Intro to Deep Learning - MIIS Capstone Planning Seminar - MIIS Directed Study  Summer: - Internship  Fall 2: - MIIS Capstone Project - Applied ML  Spring 2: - ML for Text Mining - ML for Signal Processing - Elective    Example Course of Study #2 This schedule would satisfy course requirements for a student interested in deepening their expertise in Language Technology Applications area of concentration.  Fall 1: - Search Engines - Algorithms for NLP - Intro to ML (MLD) - MIIS Directed Study  Spring 1: - Question Answering - Intro to Deep Learning - MIIS Capstone Planning Seminar - MIIS Directed Study  Summer: - Internship  Fall 2: - MIIS Capstone Project - Machine Translation  Spring 2: - Comp Semantics for NLP - Neural Networks for NLP - Elective    Example Course of Study #3 This example would satisfy course requirements for a student interested in deepening their expertise in Human Language area of concentration  Fall 1: - Natural Language Processing - Algorithms for NLP - Intro to ML (MLD) - MIIS Directed Study  Spring 1: - Question Answering - Intro to Deep Learning - MIIS Capstone Planning Seminar - MIIS Directed Study  Summer: - Internship  Fall 2: - MIIS Capstone Project - Language and Statistics  Spring 2: - Comp Semantics for NLP - ML for Signal Processing - Elective  Admission: Carnegie Mellon's School of Computer Science has a centralized online application process. Applications and all supporting documentation for fall admission to any of the LTI's graduate programs must be received by the application deadline. Incomplete applications will not be considered. The application period for Fall 2024 will open on September 6, 2023. *Please note, we no longer require mailed, hard versions of transcripts or test scores at the time of application. Do not mail anything to the admissions office. If you are accepted to a program, you will be given instruction to then mail your materials. Final Application Deadline December 13, 2023 at 3:00 p.m. EST. Cost $100 per program, $80 for applications submitted before November 29, 2023 at 3:00 p.m. EST (early deadline). Fee Waivers Fee waivers may be available in cases of financial hardship, or for participants in select "pipeline" programs. For more information, please refer to the School of Computer Science Fee Waiver page. Requirements The School of Computer Science requires the following for all Master's applications. GRE scores: MIIS applicants must submit their GRE scores. The scores must be less than five years old. The GRE Subject Test is not required, but is recommended. Our Institution Code is 2074; Department Code is 0402.  Proof of English Language Proficiency:  If you will be studying on an F-1 or J-1 visa, and English is not a native language for you (native language…meaning spoken at home and from birth), we are required to formally evaluate your English proficiency. We require applicants who will be studying on an F-1 or J-1 visa, and for whom English is not a native language, to demonstrate English proficiency via one of these standardized tests: TOEFL (preferred), IELTS, or Duolingo.  We discourage the use of the "TOEFL ITP Plus for China," since speaking is not scored. We do not issue waivers for non-native speakers of English.  In particular, we do not issue waivers based on previous study at a U.S. high school, college, or university.  We also do not issue waivers based on previous study at an English-language high school, college, or university outside of the United States.  No amount of educational experience in English, regardless of which country it occurred in, will result in a test waiver. Submit valid, recent scores: If as described above you are required to submit proof of English proficiency, your TOEFL, IELTS or Duolingo test scores will be considered valid as follows: If you have not received a bachelor’s degree in the U.S., you will need to submit an English proficiency score no older than two years. (scores from exams taken before Sept. 1, 2021, will not be accepted.) If you are currently working on or have received a bachelor's and/or a master's degree in the U.S., you may submit an expired test score up to five years old. (scores from exams taken before Sept. 1, 2018, will not be accepted.)Additional details about English proficiency requirements are provided on the FAQ page. Official transcripts from each university you have attended, regardless of whether you received your degree there. Current resume. Statement of Purpose. Three letters of recommendation. For more details on these requirements, please see the SCS Master's Admissions page. In addition to the SCS guidelines, the MIIS requires: A short (1-3 minute) video of yourself. There will be a prompt question that you will respond to. You will have three attempts. No incomplete applications will be eligible for consideration. For specific application/admissions questions, please contact Brianna Eriksen. Handbook: For a complete breakdown of the MIIS program and its policies, including information about internships, please view the MIIS Handbook. Additional Info: For more information on the MIIS program, please contact Brianna Eriksen. 
13	April 10, 2019  Buggy Races Keep Rolling at Carnegie Mellon  In its 99th year, the tradition is a Spring Carnival treat  By Heidi Opdyke  Sweepstakes, also known as the Buggy Races, has come a long way at Carnegie Mellon University. The slick, torpedo-like vessels carrying drivers with nerves of steel are a far cry from the two-man teams that once changed places halfway through a race and rode in everything from rain barrels with bicycle wheels to three-wheeled ash cans 99 years ago.  Today, it takes six people to maneuver the .84 -mile course around Schenley Park's Flagstaff Hill.  But while five pushers and a driver navigate the course's hills, dozens of people are needed to make a successful race happen. A year of planning goes into just over two minutes of racing.
14	Learn at LTI The LTI's degree programs draw from a common set of courses and core skills, but emphasize different types of expertise that prepare you for a wide range of career options. All of our programs provide the hands-on experience and rigorous curriculum that are the hallmark of computer science at Carnegie Mellon. Program Type: Undergraduate Programs Program Name: LT Concentration Overview: Human language technologies have become an increasingly central component of computer science. Information retrieval, machine translation and speech technology are used daily by the general public, while text mining, natural language processing and language-based tutoring are common within more specialized professional or educational environments. The LTI prepares students for this world by offering a minor that gives you the opportunity to not only learn about language technologies, but to also apply that knowledge through a directed project.  Requirements: Students interested in the language technologies minor must complete our prerequisite courses with an average grade of B (3.0) or better before applying to the program. (Students who do not meet this average must submit a letter of explanation along with their application.) Prerequisites include: - Principles of Imperative Computation (15-122) - Principles of Functional Programming (15-150)  We also strongly encourage candidates to take - Differential and Integral Calculus (21-120) and Integration and Approximation (21-122) - Matrices and Linear Transformations (21-241) or Matrix Theory (21-242) - Probability and Computing (15-259) or Probability (21-325) or Probability Theory for Computer Scientists (36-218) or Introduction to Probability Theory (36-225)  Curriculum: The Language Technologies Concentration requires that SCS students complete one core course and their choice of three elective courses of at least 9 units each. The electives can be chosen from a specific set of stand-alone courses. In addition to the four courses, students are required to do an undergraduate research project for at least 9 units to complete their concentration. Course Requirements for Undergraduate Minor  Core Course: - Human Language for Artificial Intelligence (11-411)  Electives (Choose Three): - Natural Language Processing (11-411) - Machine Learning for Text and Graph-based Mining (11-441) - Search Engines (11-442) - Speech Processing (11-492) - Machine Learning in Practice (11-344) - Advanced Natural Language Processing (11-711) - Machine Translation and Sequence-to-Sequence Models (11-731) - Multilingual Natural Language Processing (11-737) - Neural Networks for NLP (11-747) - Speech Recognition and Understanding (11-751) - Language and Statistics (11-761) - Multimodal Affective Computing (11-776) - The Nature of Language (80-180)   Project: Students must complete a semester-long directed research project in the context of being registered for an independent study or thesis.  This should provide hands-on experience and an in-depth study of a topic in same area as a chosen elective. Admission: Students interested in earning a minor in language technologies must apply for admission no later than September 30 of their senior year. An admission decision will usually be made within one month. Students may petition the LTI undergraduate program director to be admitted to the minor earlier or later in their undergraduate careers. To apply, contact the program's director, Carolyn Rosé. Additional Info: For more information on the undergraduate minor, contact Carolyn Rosé. 
15	As of Fall 2021, 6,982 students.
16	As of Fall 2021, 7,062 gradyate and doctoral students.
17	Items featuring the official tartan pattern can be found in the University Store.
18	Who founded Carnegie Mellon University?  Carnegie Technical Schools was founded in 1900 by Andrew Carnegie. Twelve years later it became known as the Carnegie Institute of Technology. In 1967, the school merged with Mellon Institute and became what is known today as Carnegie Mellon University.
19	The merger occurred in 1967.
20	The Machine  The basics of a buggy are straightforward, but teams are often secretive in how they build the machines, in particular the way they brake, steer and what types of wheels are used.  Each has a body, pushbar for runners to move the machine up the hills, wheels, a safety harness and driving and braking mechanisms. Some also include fairings, a type of housing around the wheels that help reduce drag, make the vehicle quieter and just looks cool.  Fairings have been a key feature for the Fringe team in recent years, which is celebrating its 50th anniversary of Buggy.  "We have a reputation of being the quietest on the course," said Diya Nuxoll, who wrapped up her bachelor's degree in mechanical engineering in December and is working on an advanced studies master's degree in design and manufacturing. Nuxoll leads the Fringe team as one of two head mechanics.  This year Fringe is planning to roll four different vehicles, built and maintained in the Fringe workshop in the basement of the East Campus Garage, known as the "Froom."  "We're used to saying everything with 'fr' in front of it but when we say something in front of other people, it gets them confused," said Fringe head mechanic Dave Singh, who will graduate in May with a bachelor's degree in mechanical engineering and biomedical engineering.  Fringe vehicles often are named with the letter "B," like Boson, Blueshift, Bissa and Bumper. Other teams, such as Apex, often use names that connotate fire, while the SDC (Student Dormitory Committee) team, uses names such as Vice, Bane, Avarice and Malice.  This year's buggy names will be under wraps until Thursday, when the Buggy Showcase will take place from noon to 2 p.m. in Weigand Gymnasium in the Cohon University Center. It's one of the few times spectators can see buggies up close.
21	Carnegie Mellon University   In 1967, Carnegie Tech merged with the Mellon Institute, a science research center founded by the Mellon family of Pittsburgh, to become known as Carnegie Mellon University. The merger built upon a long history of support from the Mellons. It allowed Carnegie Mellon to establish the last of its current pillars: the Mellon College of Science and the College of Humanities and Social Sciences, now known as Marianna Brown Dietrich College of Humanities and Social Sciences. In 2017, Carnegie Mellon celebrated the 50th anniversary of the Carnegie Tech-Mellon Institute merger, revisiting the shared vision of the founders and recognizing the impact it has had, and will continue to have, in the world of higher education, research and discovery. 
22	It became the Carnegie Institute of Technology twelve years later, in 1912.
23	Fun Fact about Scottish terrier   The Scottish terrier breed is known for its keen, alert and intelligent expression. Its temperament is described as determined and thoughtful while its physical aspects exemplify strength, power and agility in a small package. Many of these traits are also apparent throughout the university, making the Scottish terrier a natural choice for Carnegie Mellon's mascot. 
24	The actual meaning of a Tartan refers to a type of fabric characterized by stripes of various colors and widths against a solid ground, associated with Scottish family lineages.
25	The graphic mascot is uniquely adorned with a plaid scarf around its neck.
26	Official Mascot? More than a century after Carnegie Mellon University opened its doors, an official mascot finally made its mark. Although students have dressed as a Scottish terrier — typically referred to as Scotty — for 50 years, it wasn't until 2007 that Carnegie Mellon officially welcomed the Scottish terrier as the university's first mascot.  In keeping with tradition, students, faculty, staff and alumni voted to name the new official mascot Scotty. But it's not just the costumed mascot that voters named. The live dog is also known as Scotty to the Carnegie Mellon community.
27	3,500.
28	No, the name "Scotty" refers both to the costumed mascot and the live dog mascot at Carnegie Mellon University.
29	Dr. Farnam Jahanian.
